Sajjadur Rahman, Megagon Labs (USA)
Sebastian Link, University of Auckland (New Zealand)
Sebastian Michel, TU Kaiserslautern (Germany), Sebastian Michel 0001
Sebastian Schelter, University of Amsterdam (Netherlands) 
Semih Salihoglu, University of Waterloo (Canada)
Senjuti Basu Roy, NJIT (USA)
Sergey Melnik, Google (USA), Sergey Melnik 0001
Shrainik Jain, University of Washington (USA)
Slava Novgorodov, eBay Research (Israel)
Sonia Bergamaschi, Università di Modena e Reggio Emilia (Italy), Sonia Bergamaschi
Subarna Chatterjee, Harvard (USA)
Sudeepa Roy, Duke University (USA), Sudeepa Roy
Sudipto Das, Amazon Web Services (USA)
Tarique Siddiqui, UIUC (USA)
Theodore Johnson, AT&T Labs - Research (USA), Theodore Johnson
Thomas Neumann, TU Munich (Germany), Thomas Neumann 0001
Tianzheng Wang, Simon Fraser University (Canada), Tianzheng Wang 0001
Tien Tuan Anh Dinh, Singapore University of Technology and Design (Singapore)
Tilmann Rabl, HPI University of Potsdam (Germany)
Umar Farooq Minhas, Microsoft Research (USA)
Vagelis Hristidis, University of California Riverside (USA)
Vana Kalogeraki, Athens University of Economics and Business (Greece)
Vanessa Braganholo, Fluminense Federal University (Brazil)
Verena Kantere, National Technical University of Athens (Greece) 
Volker Markl, Technische Universität Berlin (Germany)
Walid Aref, Purdue University (USA)
Wei Lu, Renmin University of China (China), Wei Lu 0015
Wei Wang, NUS (Singapore), Wei Wang 0059
Wenjie Zhang, University of New South Wales (Australia), Wenjie Zhang 0001
Wolfram Wingerath, Baqend (Germany)
Wook-Shin Han, POSTECH (Korea)
Xi He, University of Waterloo (Canada), Xi He 0001
Xiangyao Yu, University of Wisconsin-Madison (USA)
Xiaofei Zhang, University of Memphis (USA), Xiaofei Zhang 0002
Xiaokui Xiao, National University of Singapore (Singapore)
Xuemin Lin, University of New South Wales (Australia), Xuemin Lin 0001
Yael Amsterdamer, Bar-Ilan University (Israel)
Yanyan Shen, Shanghai Jiao Tong University (China)
Yeye He, Microsoft Research (USA)
Yinghui Wu, Case Western Reserve University (USA)
Yuval Moskovitch, University of Michigan (USA)
Zack Ives, University of Pennsylvania (USA)
Zhifeng Bao, RMIT University (Australia)
Zi Huang, University of Queensland (Australia), Zi Huang
Zoi Kaoudi, TU Berlin (Germany)
Zsolt István, IMDEA Software (Spain), Zsolt István
Azza Abouzied, NYU Abu Dhabi (UAE)
Sihem Amer-Yahia, CNRS Univ. Grenoble Alpes (France)
Phil Bernstein, Microsoft Research (USA), Philip A. Bernstein
Sourav Bhowmick, Nanyang Technological University (Singapore), Sourav S. Bhowmick
Rada Chirkova, NC State University (USA)
Graham Cormode, University of Warwick (UK)
Alan Fekete, The University of Sydney (Australia)
Wolfgang Gatterbauer, Northeastern University (USA)
H. V. Jagadish, University of Michigan (USA)
Georgia Koutrika, Athena Research Center (Greece)
Wolfgang Lehner, Technische Universität Dresden (Germany)
Alexandra Meliou, University of Massachusetts (USA)
Renée Miller, Northeastern University (USA), Renée J. Miller
Jeff Naughton, Google (USA)
Beng Chin Ooi, National University of Singapore (Singapore)
Tamer Ozsu, University of Waterloo (Canada)
Themis Palpanas, University of Paris (France)
Alkis Polyzotis, Google (USA), Neoklis Polyzotis
Ken Ross, Columbia University (USA), Kenneth A. Ross
Timos Sellis, Swinburne University of Technology (Australia)
S. Sudarshan, IIT Bombay (India), S. Sudarshan 0001
Pinar Tozun, IT University of Copenhagen (Denmark)
Meihui Zhang, Beijing Institute of Technology (China), Meihui Zhang 0001
Stratos Idreos, Harvard University (USA)
Divesh Srivastava, AT&T (USA)
Guoliang Li, Tsinghua University (China), Guoliang Li 0001
Zhanhuai Li, Northwestern Polytechnical University (China)
