Sandeep Agrawal,Oracle
Prakash Murali,Princeton
Naveen Muralimanohar,Google
Onur Mutlu,ETH Zurich
Hoda Naghibijouybari,Binghamton University
Prashant J. Nair,University of British Columbia
Vijaykrishnan Narayanan,The Pennsylvania State University
Tony Nowatzki,"University of California, Los Angeles"
Mike O'Connor,NVIDIA
Moriyoshi Ohara,IBM Research
Soner Onder,Michigan Technological University
Biswabandan Panda,IIT Bombay
Michael Papamichael,Microsoft
Tirthak Patel,Northeastern University
Ashutosh Pattnaik,Arm
Leeor Peled,Huawei
Michael Pellauer,Nvidia
Lu Peng,Louisiana State University
Arthur Perais,Centre National de la Recherche Scientifique
Dionisios Pnevmatikatos,National Technical University of Athens & FORTH
Dmitry Ponomarev,Binghamton University
Raghavendra Pradyumna Pothukuchi,Yale University
Raghu Prabhakar,Stealth
Sooraj Puthoor,"AMD, University of Wisconsin-Madison"
Andrew Putnam,Microsoft
Ramesh Radhakrishnan,VMWare
Priyanka Raina,Stanford University
Partha Ranganathan,Google
Bin Ren,William & Mary
Xiaowei Ren,NVIDIA
Minsoo Rhu,KAIST
Scott Rixner,Rice University
Won Woo Ro,Yonsei University
Timothy Rogers,Purdue University
Alberto Ros,University of Murcia
Carlos Rozas,Intel
Gururaj Saileshwar,Georgia Institute of Technology
Hiroshi Sasaki,Tokyo Institute of Technology
Nader Sehatbakhsh,UCLA
Resit Sendag,University of Rhode Island
Vivek Seshadri,Microsoft Research India
Amirali Sharifian,Cerebras Systems
Xipeng Shen,North Carolina State University and Facebook
Seunghee Shin,The State University of New York at Binghamton
Ryota Shioya,The University of Tokyo
Jaewoong Sim,Seoul National University
James Smith,none
Shuaiwen Leon Song,University of Sydney
Ioannis Sourdis,Chalmers University of Technology
Vilas Sridharan,AMD
Sriseshan Srikanth,AMD Research
Nitish Srivastava,Google
Phillip Stanley-Marbell,Cambridge
Lavanya Subramanian,Intel
Sreenivas Subramoney,Intel Labs
Michael Sullivan,NVIDIA
Guangyu Sun,Peking University
Karthik Swaminathan,IBM Research
Nishil Talati,University of Michigan
Radu Teodorescu,The Ohio State University
Elvira Teran,Texas A&M International University
Christopher Torng,Stanford University
Po-An Tsai,NVIDIA
James Tuck,North Carolina State University
Georgios Tziantzioulis,Princeton University
Thomas Unterluggauer,Intel Labs
Kaushik Vaidyanathan,Google
Radha Venkatagiri,Intel
Swagath Venkataramani,IBM Corporation
Rangharajan Venkatesan,NVIDIA
Rujia Wang,Illinois Institute of Technology
Uri Weiser,Technion
Daniel Wong,"University of California, Riverside"
Bo Wu,Colorado School of Mines
Sotirios Xydis,"Harokopio University of Athens, Greece"
Zi Yan,NVIDIA
Chia-Lin Yang,National Taiwan University
Jun Yang,University of Pittsburgh
Fan Yao,University of Central Florida
Leonid Yavits,Bar Ilan University
Jieming Yin,Lehigh University
Shouyi Yin,Tsinghua University
Jeffrey Young,Georgia Institute of Technology
Zhibin Yu,"Shenzhen Institutes of Advanced Technology(SIAT), Chinese Academy of Science(CAS)"
Mohamed Zahran,New York University
Jianfeng Zhan,"Institute of Computing Technology, Chinese Academy of Sciences"
Mingzhe Zhang,"Institute of Computing Technology, Chinese Academy of Sciences"
Tianwei Zhang,Nanyang Technological University
Xuan Zhang,Washington University in St. Louis
Zhengya Zhang,"University of Michigan, Ann Arbor"
Xia Zhao,NUDT
Huiyang Zhou,North Carolina State University
