Mohit Tiwari,UTAustin
Josep Torrellas,UIUC
Hung-Wei Tseng,UC Riverside
James Tuck,NC State
Georgios Tziantzioulis,Princeton
Guru Vankataramani,GWU
Dana Vantrease,Amazon
Paul Whatmough,Arm Research
Lisa Wu,Duke
Jun Yang,Pittsburgh
Chia-Lin Yang,National Taiwan University
Vinson Young,Microsoft
Zhibin Yu,SIAT
Xia Zhao,NUDT
Huiyang Zhou,NC State
Nael Abu-Ghazaleh,UC Riverside
Shaizeen Aga,AMD Research
Jung Ho Ahn,SNU
Shoaib Akram,ANU
Murali Annavaram,USC
Rachata Ausavarungnirun,KMUTNB
Amro Awad,UCF
Mario Badr,Toronto
Yungang Bao,ICT
Robert Bell,Samsung
Ricardo Bianchini,Microsoft
David Black-Schaffer,Uppsala
Mauricio Breternitz,Lisbon
Martin Burtscher,Texas State
Trey Cain,Marvell
Trevor E. Carlson,NUS
Eric Chung,Microsoft
Caroline Collange,INRIA
Alexandros Daglis,Georgia Tech
Ganesh Dasika,AMD
Christina Delimitrou,Cornell
Yasuko Eckert,AMD
Wendy Elsasser,Arm
Zhenman Fang,Simon Fraser
Paolo Faraboschi,HP
Josue Feliu,UPV
Christopher Fletcher,UIUC
Jayesh Gaur,Intel
Andreas Gerstlauer,UT Austin
Dibakar Gope,Arm Research
Paul Gratz,TAMU
Brian Grayson,SiFive
Nikos Hardavellas,Northwestern
Wim Heirman,Intel
Mark Hempstead,Tufts
Kei Hiraki,Preferred Networks
Peter Hofstee,IBM
Rui Hou,ICT
Michael Huang,Rochester
Clayton Hughes,Sandia
Mohsen Imani,UC Irvine
Magnus Jahre,NTNU
Aamer Jaleel,NVIDIA
Ali Javadi-Abhari,IBM
Hyeran Jeon,UC Merced
Xun Jian,Virginia Tech
Daniel Jiménez,Texas A&M
Eugene John,UT San Antonio
Norm Jouppi,Google
David Kaeli,Northeastern
Mahmut Kandemir,Penn State
Ulya Karpuzcu,Minnesota
Baris Kasikci,Michigan
Krishna Kavi,UNT
Omer Khan,Connecticut
Hyesoon Kim,Georgia Tech
Jangwoo Kim,SNU
Jagadish Kotra,AMD Research
Rakesh Kumar,UIUC
Rakesh Kumar,NTNU
Hyoukjun Kwon,Facebook
Michael LeBeane,Qualcomm
Jae W. Lee,SNU
Ruby Lee,Princeton
Charles Lefurgy,IBM
Tamara Lehman,Colorado
Ang Li,Pacific Northwest
Yanjing Li,Chicago
Calvin Lin,UT Austin
Lei Liu,ICT
Xu Liu,NC State
Qiuyun Llull,Google
Pejman Lotfi-Kamran,IPM
Ahmed Louri,GWU
Jason Lowe-Power,UC Davis
Andrew Lukefahr,Indiana
Daniel Lustig,NVIDIA
Srilatha Manne,Microsoft
Andreas Moshovos,Toronto
Abdullah Muzahid,TAMU
