Michiel van de Panne,[Unknown]
Miika Aittala,"[NVIDIA, Unknown]"
Mike Seymour,"[Sydney University, Australia]"
Mikhail Bessmeltsev,"[University of Montreal, Unknown]"
Min H. Kim,[Korea Advanced Institute of Science and Technology (KAIST)]
Mina Konakovic-Lukovic,"[MIT, Unknown]"
Ming Lin,"[University of Maryland, University of North Carolina, Unknown]"
Mingming He,[USC Institute for Creative Technologies (ICT)]
Mirela Ben-Chen,[Unknown]
Moritz Baecher,[Unknown]
Nancy Pollard,[Carnegie Mellon University]
Nathan Carr,[Unknown]
Nicholas Vining,[Unknown]
Nico Pietroni,[Unknown]
Nicolas Bonneel,"[CNRS, University of Lyon]"
Nicolas Holzschuch,[INRIA]
Niloy J. Mitra,[Unknown]
Nils Th uerey,"[Technical University of Munich, Unknown]"
Norbert Drage,"[Curtin University, Australia]"
Ohad Fried,"[Th e Interdisciplinary Center Herzliya, Unknown]"
Peter Hedman,"[Google Inc., Unknown]"
Peter-Pike Sloan,[Unknown]
Philipp Herholz,[ETH]
Philipp Slusallek,[Unknown]
Piotr Didyk,[Unknown]
Pol Jeremias-Vila,"[Pixar Animation Studios, USA]"
Pooran Memari,"[CNRS, Ecole Polytechnique]"
Prakash Ramajillu,"[Koelnmesse Pte Ltd, Singapore]"
Rachel McDonnell,[Trinity College Dublin]
Rafal K. Mantiuk,"[University of Cambridge; Meta Platforms, Inc., Unknown]"
Rahul Narain,"[Indian Institute of Technology Delhi, Unknown]"
Rana Hanocka,"[University of Chicago, Unknown]"
Rick Xu,"[Shenzhen ACM SIGGRAPH Chapter, China]"
Robert Bridson,[Unknown]
Rui Wang,[Unknown]
Ruizhen Hu,[Unknown]
Sai-Kit Yeung,"[Hong Kong University of Science and Technology, The Hong Kong University of Science and Technology, Hong Kong]"
Sanja Fidler,"[University of Toronto, NVIDIA]"
Sarah Kenderdine,"[ArtLab Laboratory for Experimental Museology (Em+), Switzerland]"
Sehoon Ha,"[Georgia Institute of Technology, Google Inc.]"
Shinjiro Sueda,[Unknown]
Shuang Zhao,"[University of California Irvine, Unknown]"
Shuzo John Shiota,"[Polygon Pictures Inc., Japan]"
Siddhartha Chaudhuri,[Unknown]
Siyu Tang,[ETH Zürich]
Stelian Coros,[Unknown]
Stephen N. Spencer,"[University of Washington, USA]"
Steve Marschner,[Unknown]
Sung-Hee Lee,"[Korea Advanced Institute of Science and Technology (KAIST), Unknown]"
Sunghee Choi,[Korea Advanced Institute of Science and Technology (KAIST)]
Surapong Lertsithichai,"[Mahidol University, Thailand]"
Sylvain Lefebvre,[Unknown]
Sylvain Paris,[Unknown]
Takeo Igarashi,"[University of Tokyo, Preferred Networks, Unknown]"
Taku Komura,"[University of Hong Kong, University of Edinburgh, Unknown]"
Tali Dekel,"[Google Inc., Weizmann Institute]"
Tamar Shinar,[Unknown]
Tamy Boubekeur,[Unknown]
Tao Ju,[Unknown]
Th omas Funkhouser,"[Princeton University, Google Research]"
Tianjia Shao,"[State Key Lab of CAD and CG, Zhejiang University, Unknown]"
Tim Weyrich,[Unknown]
Tobias Ritschel,"[University College London (UCL), Unknown]"
Tomasz Bednarz,"[CSIRO Data61, UNSW Art & Design, Australia]"
Toshiya Hachisuka,[Unknown]
Tzu-Mao Li,"[University of California, San Diego]"
Vladimir Kim,[Unknown]
Wenping Wang,"[Texas A&M University, University of Hong Kong, Unknown]"
Wenzel Jakob,[Unknown]
Wilmot Li,[Unknown]
Wojciech Matusik,[Unknown]
Wolfgang Heidrich,[Unknown]
Xin Tong,"[Microsoft, Unknown, Microsoft Research, China]"
Yael Pritch,[Unknown]
Yi Zhou,[Unknown]
Yotam Gingold,[George Mason University]
Yulia Gryaditskaya,"[CVSSP, University of Surrey, Unknown]"
Yuta Sugiura,"[Keio University, Japan]"
Yuting Ye,"[Reality Labs Research, Meta, Unknown]"
