name,affiliation
Alexander Wilkie,Unknown
Feng Xu,Unknown
Ling-Qi Yan,Unknown
Yuting Ye,Unknown
Lap-Fai Yu,Unknown
Shuang Zhao,Unknown
Yi Zhou,Unknown
Bo Zhu,Unknown
Denis Zorin,Unknown
Andrew Adams,Unknown
Marco Attene,Unknown
Robert Bridson,Unknown
Angel Chang,Unknown
Stelian Coros,Unknown
Eugene d'Eon,Unknown
Iliyan Georgiev,Unknown
Michael Gharbi,Unknown
Toshiya Hachisuka,Unknown
Bernhard Kerbl,Unknown
Sung-Hee Lee,Unknown
Céline Loscos,Unknown
Wojciech Matusik,Unknown
Matthew O'Toole,Unknown
Michael Rubinstein,Unknown
Eli Shechtman,Unknown
Peter-Pike Sloan,Unknown
Marc Stamminger,Unknown
Kartic Subr,Unknown
Daniel Sykora,Unknown
Matthias Teschner,Unknown
Christian Th eobalt,Unknown
Nils Th uerey,Unknown
Amir Vaxman,Unknown
Nicholas Vining,Unknown
Michael Wand,Unknown
Tim Weyrich,Unknown
Emily Whiting,Unknown
Changxi Zheng,Unknown
Tomasz Bednarz,"CSIRO Data61, UNSW Art & Design, Australia"
Sarah Kenderdine,"ArtLab Laboratory for Experimental Museology (Em+), Switzerland"
June Kim,"The University of New South Wales, Australia"
Michael Hsin-Yao Liang,"Silkroad Visual Technologies Co., LTD, Taiwan"
Pol Jeremias-Vila,"Pixar Animation Studios, USA"
Jinny H.J. Choo,"Korea National University of Arts, South Korea"
Sai-Kit Yeung,"The Hong Kong University of Science and Technology, Hong Kong"
John Doolan,"Virtual Immersive, Australia"
Joe Cincotta,"Thinking.Studio, Australia"
Alyn Rockwood,"Boulder Graphics, USA"
Brian Wyvill,"University of Victoria, Canada"
Matt Adcock,"CSIRO Data61, Australia"
Yuta Sugiura,"Keio University, Japan"
Mark Elendt,"SideFX, Canada"
Stephen N. Spencer,"University of Washington, USA"
Mike Seymour,"Sydney University, Australia"
Xin Tong,"Microsoft Research, China"
Belen Masia,"Universidad de Zaragoza, Spain"
C. Karen Liu,"Stanford University, USA"
Mark Billinghurst,"University of Auckland, New Zealand, University of South Australia, Australia"
Arindam Dey,"University of Queensland, Australia"
Bruce H. Thomas,"University of South Australia, Australia"
Norbert Drage,"Curtin University, Australia"
Daniel Filonik,"EPICentre, UNSW Art & Design, Australia"
Ian Failes,"Vfxblog, Australia"
Craig James,"CSIRO, Australia"
John McGhee,"University of New South Wales, Art & Design, Australia"
Luc Betbeder-Matibet,"University of New South Wales, Sydney, Australia"
Rick Xu,"Shenzhen ACM SIGGRAPH Chapter, China"
Ayumi Kimura,"Research Manager at OLM Digital, Inc., Japan / Program Manager and Collaboration Coordinator at CMIC, Victoria University of Wellington, New Zealand"
Diana Arellano,"Mackevision, Germany"
Jessica Hodgins,"Carnegie Mellon University, USA"
Surapong Lertsithichai,"Mahidol University, Thailand"
Mashhuda Glencross,"The University of Queensland, Australia"
David Spoelstra,"MediaMachine LLC, USA"
Prakash Ramajillu,"Koelnmesse Pte Ltd, Singapore"
Ken Anjyo,"Executive Advisor at OLM Digital, Inc. / Director at CMIC, Victoria University of Wellington"
Jinny H.J. Choo,"Korea National University of Arts, South Korea"
Shuzo John Shiota,"Polygon Pictures Inc., Japan"
