A. Cristiano I. Malossi,[IBM Corporation*]
Bert Wesarg,"[GWT-TUD GmbH; Department for Information Services and High Performance Computing (ZIH), Center for Interdisciplinary Digital Sciences (CIDS), Technische Universität Dresden]"
Bertil Schmidt,[Johannes Gutenberg University Mainz]
Bharti Wadhwa,[IBM Research]
Biagio Cosenza,[University of Salerno]
Bilel Hadri,[King Abdullah University of Science and Technology (KAUST)]
Bin Dong,[Lawrence Berkeley National Laboratory (LBNL)]
Bin Ren,[William & Mary]
Bing Xie,"[Microsoft Corporation, Microsoft, Oak Ridge National Laboratory (ORNL)]"
Bingsheng He,[National University of Singapore]
Bo Wu,[Colorado School of Mines]
Bogdan Nicolae,[Argonne National Laboratory (ANL)]
Bora Uçar,[French National Center for Scientific Research (CNRS)]
Boris Ginsburg,[NVIDIA Corporation]
Boyana Norris,"[Luminous Computing; University of Oregon, University of Oregon]"
Brad Settlemyer,"[Los Alamos National Laboratory, NVIDIA Corporation]"
Bradford Chamberlain,"[Hewlett Packard Enterprise, University of Washington]"
Brandic Ivona,[Vienna University of Technology]
Brandon Reagen,"[New York University (NYU), Facebook]"
Brian Barrett,[Amazon Web Services]
Brian C. Van Essen,"[Lawrence Livermore National Laboratory (LLNL), Lawrence Livermore National Laboratory]"
Brian Towles,[DE Shaw Research LLC]
Brice Goglin,"[French Institute for Research in Computer Science and Automation (INRIA), University of Bordeaux]"
Bronis R. de Supinski,[Lawrence Livermore National Laboratory (LLNL)]
Bronson Messer,"[Oak Ridge National Laboratory (ORNL), University of Tennessee, Oak Ridge National Laboratory (ORNL), University of Tennessee*]"
Bálint Joó,[Oak Ridge National Laboratory (ORNL)]
Caitlin Ross,[Kitware Inc]
Camille Coti,"[University of Quebec, Montreal]"
Candace Culhane,[Los Alamos National Laboratory]
Carla Osthoff,"[National Laboratory for Scientific Computing, Brazil]"
Carlo Bertolli,[IBM Corporation]
Carlo Cavazzoni,"[Leonardo SpA, Italy]"
Carlos Jaime Barrios Hernandez,"[Advanced Computing Service for Latin America and the Caribbean (SCALAC); Industrial University of Santander, Colombia]"
Carol Song,[Purdue University]
Caroline Collange,[French Institute for Research in Computer Science and Automation (INRIA)]
Catherine Olschanowsky,[Boise State University]
Catherine Schuman,[University of Tennessee]
Cathy Willis,[Hewlett Packard Enterprise]
Cedric Augonnet,[French Alternative Energies and Atomic Energy Commission (CEA)]
Chao Jin,[University of Queensland]
Chao Li,[Shanghai Jiao Tong University]
Chao Yang,"[Peking University, Chinese Academy of Sciences, Lawrence Berkeley National Laboratory]"
Chao-An Lin,"[National Tsing Hua University, Taiwan*]"
Chaoli Wang,[University of Notre Dame]
Chen Ding,[University of Rochester]
Chen Wang,[IBM Research]
Cho-Jui Hsieh,"[University of California, Los Angeles (UCLA); Amazon]"
Chris Gottbrath,[Facebook]
Chris Johnson,[University of Utah]
Chris Schlipalius,"[Pawsey Supercomputing Centre; Commonwealth Scientific and Industrial Research Organisation (CSIRO), Australia]"
Christian J. Gilbertson,[Sandia National Laboratories]
Christian Perez,[French Institute for Research in Computer Science and Automation (INRIA)]
Christian Plessl,"[Paderborn University, Germany]"
Christian Schulz,[Heidelberg University]
Christian Terboven,[RWTH Aachen University]
Christine Harvey,[MITRE Corporation]
Christine Klymko,[Lawrence Livermore National Laboratory*]
Christine Sweeney,"[Los Alamos National Laboratory (LANL), University of New Mexico]"
Christoph Junghans,[Los Alamos National Laboratory]
Christoph Kessler,"[Linköping University, Sweden]"
Christophe Dubach,[McGill University]
Christopher Carothers,[Rensselaer Polytechnic Institute (RPI)]
Christopher January,[ARM Ltd]
Christopher S. Oehmen,[Pacific Northwest National Laboratory (PNNL)]
Chunhua Liao,[Lawrence Livermore National Laboratory]
Claudia Fohry,[University of Kassel]
Claudia Misale,[IBM]
Clint N. Dawson,[University of Texas]
Coi-Jui Hseih,"[University of California, Los Angeles (UCLA); Google LLC]"
Connor F Scully-Allison,[University of Utah; Scientific Computing and Imaging Institute]
Cosmin Eugen Oancea,[University of Copenhagen]
Costas Bekas,[Citadel Securities]
Cristiana Bentes,[Rio de Janeiro State University (UERJ)]
Cristina Abad,[ESPOL]
Cristina Garcia Cardona,[Los Alamos National Laboratory (LANL)]
Cynthia Phillips,[Sandia National Laboratories]
Dakai Zhu,"[University of Texas, San Antonio]"
Damian Dechev,"[University of Central Florida, National Science Foundation (NSF)]"
Damian Podareanu,[SURFsara]
Damian S. Steiger,[Microsoft Corporation]
Dan C Stanzione,[University of Texas]
Dan Huang,"[Sun Yat-sen University, Guangzhou, China]"
Dandan Song,[Beijing Institute of Technology]
Daniel Balouek-Thomert,"[University of Utah, Scientific Computing and Imaging Institute (SCI)]"
Daniel J. Ernst,"[Cray Inc, Microsoft Corporation]"
Daniel Laney,[Lawrence Livermore National Laboratory]
Daniel Peter,[King Abdullah University of Science and Technology (KAUST)]
Daniel Ruprecht,[Hamburg University of Technology]
Daniel S. Katz,"[University of Illinois, National Center for Supercomputing Applications (NCSA)]"
Daniel Wong,"[University of California, Riverside]"
Daniela Ushizima,"[Lawrence Berkeley National Laboratory (LBNL); University of California, Berkeley]"
Danielle A. Ellsworth,[Colorado College]
Darshan Sarojini,"[University of California, San Diego (UCSD)]"
Dave Pugmire,[Oak Ridge National Laboratory (ORNL)]
David Abramson,[University of Queensland]
David Boehme,[Lawrence Livermore National Laboratory (LLNL)]
David Donofrio,"[Tactical Computing Laboratories LLC, Lawrence Berkeley National Laboratory (LBNL), Tactical Computing Laboratories LLC, Lawrence Berkeley National Laboratory]"
David Eberius,[Oak Ridge National Laboratory (ORNL)]
David Hancock,[Indiana University]
David Irwin,"[University of Massachusetts, Amherst]"
David Lowenthal,[University of Arizona]
David Malanik,[TBU in Zlin]
David Singh,[Charles III University of Madrid]
Davis Blalock,"[MosaicML, Massachusetts Institute of Technology (MIT)]"
