50/1133,78/5231,2
50/1133,56/4439,6
50/1133,63/3113,2
50/1133,76/6860,10
h/JohnSHeidemann,b/FabianEBustamante,2
h/JohnSHeidemann,14/2991,2
h/JohnSHeidemann,31/1402,2
h/JohnSHeidemann,52/2893,2
h/JohnSHeidemann,h/AhmedHelmy,4
h/JohnSHeidemann,36/1561,6
h/JohnSHeidemann,h/MarkHandley,2
h/JohnSHeidemann,z/LixiaZhang1,2
h/JohnSHeidemann,89/6345,2
h/JohnSHeidemann,66/2080,10
h/JohnSHeidemann,g/DeepakGanesan,8
h/JohnSHeidemann,f/AnjaFeldmann,2
h/JohnSHeidemann,w/WalterWillinger,4
h/JohnSHeidemann,71/1693,4
h/JohnSHeidemann,g/BrightenGodfrey,2
h/JohnSHeidemann,04/6227,6
h/JohnSHeidemann,30/3112,4
h/JohnSHeidemann,66/1199,6
00/3507,62/1272-1,30
00/3507,345/5455-1,2
00/3507,s/AmanShaikh,4
00/3507,57/6706,4
00/3507,07/5905,8
00/3507,91/584,4
00/3507,28/1552,2
00/3507,66/5629,2
00/3507,87/6218,2
00/3507,47/3276,14
00/3507,54/476-1,50
00/3507,61/3906-10,2
00/3507,42/5784,2
00/3507,62/8333,6
00/3507,40/6686-2,2
00/3507,69/8167,2
00/3507,58/7552,2
00/3507,35/9005,2
48/6854,b/FabianEBustamante,48
48/6854,52/10159,4
48/6854,s/RameshKSitaraman,2
48/6854,49/7538,4
48/6854,87/840,2
48/6854,33/5454,22
48/6854,52/2893,14
48/6854,71/6861,2
48/6854,g/PKrishnaGummadi,6
48/6854,w/DavidWetherall,4
48/6854,p/DanPei,4
48/6854,91/584,14
48/6854,b/MarinhoPBarcellos,4
48/6854,66/2080,20
48/6854,155/5773,14
48/6854,174/4807,20
48/6854,75/6403,4
48/6854,b/EMBeldingRoyer,2
48/6854,f/AnjaFeldmann,6
48/6854,w/WalterWillinger,4
48/6854,c/KaiChen5,4
48/6854,y/XiaoweiYang,2
48/6854,82/5866,8
48/6854,78/9826,2
48/6854,37/8465,4
48/6854,15/5579,2
48/6854,68/4437,2
48/6854,66/1199,2
b/FabianEBustamante,31/1402,2
b/FabianEBustamante,87/840,4
b/FabianEBustamante,k/SrikanthKandula,2
b/FabianEBustamante,33/5454,6
b/FabianEBustamante,31/10646,12
b/FabianEBustamante,03/3645,12
b/FabianEBustamante,p/DanPei,4
b/FabianEBustamante,13/7972,2
b/FabianEBustamante,68/5579,2
b/FabianEBustamante,123/3350-1,2
b/FabianEBustamante,w/WalterWillinger,12
b/FabianEBustamante,b/PaulBarford,2
b/FabianEBustamante,c/KaiChen5,4
b/FabianEBustamante,93/89,2
52/10159,12/8574,2
52/10159,37/8397,2
52/10159,149/9280,4
52/10159,71/9428,4
52/10159,73/1997-1,2
52/10159,03/353,6
44/2799,42/6870,2
44/2799,27/2403,2
44/2799,62/1272-1,2
44/2799,94/8865,52
44/2799,83/514,12
44/2799,49/4817,8
44/2799,12/8574,8
44/2799,f/AntonioFernandezAnta,2
44/2799,r/KKRamakrishnan,2
44/2799,70/3604-1,6
44/2799,55/3521,4
44/2799,87/4982-1,2
44/2799,w/YuWang3,2
44/2799,67/6649-4,2
44/2799,35/837-1,2
44/2799,l/XiangYangLi,14
44/2799,10/5630-1,2
44/2799,69/8167,4
44/2799,63/778-1,2
44/2799,43/6690-3,12
44/2799,79/1482,10
44/2799,75/198-1,8
44/2799,29/5901,6
44/2799,96/6606,4
44/2799,91/10470,8
44/2799,80/7673,8
44/2799,18/2343-1,4
44/2799,52/328-1,4
44/2799,02/3687,2
42/6870,27/2403,2
42/6870,92/442,2
42/6870,62/1272-1,2
42/6870,11/1735-4,4
27/2403,11/1735-4,180
27/2403,w/JieWu1,2
27/2403,73/237-1,2
27/2403,z/BenYZhao,4
27/2403,98/3313-1,8
27/2403,07/5905,4
27/2403,70/3604-1,8
27/2403,23/7560,16
27/2403,22/393,2
27/2403,04/2024-1,2
27/2403,55/3521,2
27/2403,61/1951-1,76
27/2403,87/4982-1,100
27/2403,167/4171,20
27/2403,24/2536,2
27/2403,l/JiangchuanLiu,2
27/2403,l/XueLiu,24
27/2403,w/YuWang3,4
27/2403,35/837-1,2
27/2403,48/4185-1,4
27/2403,l/XiangYangLi,178
27/2403,63/4542,2
27/2403,54/476-1,28
27/2403,w/KuiWu,2
27/2403,42/840,8
27/2403,42/5784,2
27/2403,j/KyleJamieson,2
27/2403,l/JohnCSLui,2
27/2403,14/2293-1,2
27/2403,54/2752-2,54
27/2403,95/10658,6
27/2403,79/1482,34
27/2403,68/3428,34
27/2403,74/6501,20
27/2403,02/6595,22
27/2403,08/9937,8
27/2403,96/6606,56
27/2403,58/5750-1,6
27/2403,38/559,4
27/2403,91/10470,60
27/2403,59/5806-2,206
27/2403,65/4916,12
27/2403,167/5933,2
27/2403,22/5702,2
27/2403,91/195-1,2
27/2403,70/1741-4,4
27/2403,14/5505-1,68
27/2403,64/2268,4
27/2403,58/6576-1,2
27/2403,71/9969-1,2
27/2403,45/2682,10
27/2403,75/3699,116
27/2403,05/7548-1,54
27/2403,98/3341-2,32
27/2403,04/6217,6
27/2403,82/4194,2
27/2403,39/1697-1,14
27/2403,86/10809,2
27/2403,35/203,24
27/2403,55/6238,2
92/442,39/1037,2
92/442,40/2614,20
92/442,05/1629,10
92/442,18/2302,10
92/442,99/2059,2
92/442,b/AlbertBanchs,2
