A. Seza Doğruöz,[Ghent University]
Chrysoula Zerva,[Instituto de Telecomunicacoes-IST]
Chutima Beokhaimook,"[Rangsit University, Thailand]"
Cicero Nogueira dos Santos,[Unknown]
Claire Cardie,[Unknown]
Claire Gardent,[Unknown]
Claudia Borg,[University of Malta]
Claudia Soria,[CNR-ILC]
Colin Cherry,"[Google, Unknown]"
Colin Raffel,"[University of North Carolina, Chapel Hill, UNC Chapel Hill and Hugging Face, Unknown]"
Craig Macdonald,[Unknown]
Cristian Danescu-Niculescu-Mizil,[Unknown]
Cristina España i Bonet,[Deutsches Forschungszentrum für Künstliche Intelligenz]
Daisuke Kawahara,[Unknown]
Dallas Card,[Stanford University]
Damien Blasi,[Harvard University]
Damira Mršic,[Underline]
Dan Garrette,[Google Research]
Dan Goldwasser,[Unknown]
Dan Jurafsky,[Stanford University]
Dan Roth,"[University of Pennsylvania, Unknown]"
Dani Yogatama,[Unknown]
Daniel Beck,"[University of Melbourne (Australia), University of Melbourne]"
Daniel Cer,[Unknown]
Daniel Fried,[Facebook AI]
Daniel Gildea,[Unknown]
Daniel Khashabi,"[University of Pennsylvania, Unknown]"
Danilo Croce,"[University of Rome Tor Vergata, Italy]"
Danish Pruthi,"[Indian Institute of Science (IISc), Bangalore]"
Danqi Chen,"[Princeton University, Unknown]"
Danushka Bollegala,"[University of Liverpool (UK), Unknown]"
David Bamman,"[UC Berkeley, Unknown]"
David Chiang,"[University of Notre Dame, USA, Unknown]"
David Jurgens,"[University of Michigan, Unknown]"
David Mimno,"[Cornell University, Unknown]"
David Mortensen,[Unknown]
David Schlangen,"[University of Potsdam, Germany]"
David Traum,[University of South California]
David Vilar,[Unknown]
Dekai Wu,[Unknown]
Demond Elliott,[Unknown]
Derek F. Wong,"[University of Macau, Macao, China, Unknown]"
Derek Wong,[University of Macau]
Devamanyu Hazarika,[Amazon (USA)]
Deyi Xiong,"[Tianjin University, Unknown]"
Deyu Zhou,[Unknown]
Dian Yu,[Tencent AI Lab]
Diana Inkpen,[University of Ottawa (Senior Chair)]
Diana Maynard,"[University of Sheffield, UK]"
Diana McCarthy,[Unknown]
Diarmuid Ó Séaghdha,"[Apple, Unknown]"
Dieuwke Hupkes,[Facebook AI Research]
Dilek Hakkani-Tur,"[Amazon Alexa AI, Unknown]"
Dimitri Kartsaklis,[Unknown]
Dina Demner-Fushman,"[National Library of Medicine (Senior Chair), Unknown]"
Dirk Hovy,"[Bocconi University (Italy), Bocconi University, Bocconi University, Italy, Unknown]"
Diyi Yang,"[Stanford University, Georgia Institute of Technology, Unknown]"
Djame Seddah,[University Paris-Sorbonne]
Dominique Brunato,[Institute for Computational Linguistics of CNR (CNR-ILC)]
Don Metzler,[Google]
Dong Nguyen,"[Utrecht University, Unknown]"
Dongyan Zhao,"[Peking University, China]"
Doug Downey,"[Allen Institute for AI, Northwestern University, Unknown]"
Douwe Kiela,"[Facebook, Unknown]"
Duyu Tang,[Unknown]
Edoardo Ponti,[Unknown]
Eduardo Blanco,"[University of Arizona (USA), University of Arizona, University of North Texas, USA, Unknown]"
Edward Grefenstette,[Unknown]
Ehsan Shareghi,[Unknown]
Ehud Reiter,[Unknown]
Ekaterina Kochmar,[Unknown]
Ekaterina Shutova,[Unknown]
Ekaterina Vylomova,[Unknown]
Elena Cabrio,"[Université Côte d'Azur, France, Université Côte d’Azur, Inria, CNRS, I3S]"
Elia Bruni,[Unknown]
Ellen Riloff,"[University of Utah, USA]"
Ellie Pavlick,[Brown University]
Els Lefever,[Unknown]
Emilia Apostolova,[Language.ai]
Emily Dinan,[Facebook AI Research]
Emily M. Bender,[University of Washington]
Emily Pitler,[Unknown]
Emily Prud'hommeaux,[Unknown]
Emma Strubell,"[Carnegie Mellon University, Unknown]"
Emmanuele Chersoni,"[The Hong Kong Polytechnic University, Hong Kong]"
Eneko Agirre,[Unknown]
Enrique Alfonseca,[Google]
Eric Cambria,[Nanyang Technological University]
Eric Nyberg,[Unknown]
Erik Cambria,[Unknown]
Esther Seyffarth,[University of Düsseldorf]
Ethan Selfridge,[Unknown]
Eugene Agichtein,[Unknown]
Eunsol Choi,"[University of Washington, UT Austin, Google AI, UT Austin (Senior Chair), Unknown]"
Eva Vanmassenhove,[Tilburg University (Netherlands)]
Evangelos Kanoulas,[University of Amsterdam]
Fabio Massimo Zanzotto,[Unknown]
Fang Kong,[Soochow University]
Fei Liu,"[University of Central Florida, University of Central Florida (Senior Chair), University of Central Florida, USA, Unknown]"
Fei Sha,[Unknown]
Fei Xia,[University of Washington]
Felice Dell'Orletta,[Institute for Computational Linguistics of CNR (CNR-ILC)]
Felipe Bravo,[Unknown]
Fenia Christopoulou,[Huawei Noah’s Ark Lab]
Fernando Alva-Manchego,[University of Sheffield]
Filip Ginter,"[University of Turku, Unknown]"
Filip Klubicka,"[ADAPT Centre, Ireland]"
Fiona McGillivray,[Abbey]
Florian Metze,[Unknown]
Francesca Toni,[Imperial College London (Senior Chair)]
Frank Keller,[Unknown]
François Yvon,[University Paris Sud]
Furu Wei,[Unknown]
Gabriel Skantze,"[KTH Speech Music and Hearing, Unknown]"
Gabriel Stanovsky,"[The Hebrew University of Jerusalem (Senior Chair), Unknown]"
Gabriella Pasi,[University of Milano-Bicocca]
Gareth Jones,[Dublin City University]
Geoff Zweig,[Unknown]
George Acquaah-Mensah,[Massachusetts College of Pharmacy and Health Sciences]
George Foster,[Unknown]
George Giannakopoulos,[Unknown]
Georgiana Dinu,[Amazon AWS]
Gerard de Melo,"[Hasso Plattner Institute, University of Potsdam, Unknown]"
Gerasimos Lampouras,[Huawei Noah’s Ark Lab]
German Rigau,"[Basque Country University, Spain, University of the Basque Country, UPV/EHU, Unknown]"
Gholamreza Haffari,[Unknown]
Gilles Adda,[LISN-CNRS & LIMSI-CNRS]
Gina-Anne Levow,[Unknown]
Giovanni Da San Martino,[Unknown]
Giovanni Semeraro,[University of Bari]
Gisela Vallejo,[University of Melbourne (Australia)]
Giulia Venturi,[Institute for Computational Linguistics of CNR (CNR-ILC)]
Giuseppe Carenini,"[University of British Columbia, Unknown]"
Goran Glavaš,"[University of Mannheim, USA]"
Graham Neubig,"[Carnegie Mellon University, USA, Unknown]"
Greg Carew,[Abbey]
Greg Durrett,[Unknown]
Grzegorz Chrupała,"[Tilburg University, Unknown]"
Guillaume Wisniewski,[Unknown]
Guodong Xie,"[ADAPT Centre, Ireland]"
Guodong Zhou,[Soochow University (Senior Chair)]
Hai Zhao,"[Shanghai Jiao Tong University, Unknown]"
Haitao Lin,"[Institute of Automation, Chinese Academy of Sciences, China]"
Haitao Mi,[Unknown]
Haizhou Li,[Unknown]
Hamid Palangi,"[Microsoft Research, Redmond]"
