name,affiliation
Byron Gao,Texas State University
Yifeng Gao,The University of Texas Rio Grande Valley
Yue Gao,Tsinghua University
Paolo Garza,Politecnico di Torino
Flavio Giobergia,Polytechnic University of Turin
Rosalba Giugno,University of Verona
Aris Gkoulalas-Divanis,IBM Watson Health
Chen Gong,Nanjing University of Science and Technology
Le Gruenwald,University of Oklahoma
Ziyu Guan,"State Key Lab of ISN, School of Computer Science and Technology, Xidian University"
Ekta Gujral,Walmart
Francesco Gullo,UniCredit
Ruocheng Guo,"Bytedance AI Lab, UK"
Ting Guo,"University of Technology, Sydney"
Chowdhury Mohammad Rakin Haider,Purdue University
Maria Halkidi,University of Piraeus
Lawrence Hall,University of South Florida
Howard J. Hamilton,CS of University of Regina
Xiaotian Han,Texas A&M University
Mohammad Hasan,Indiana University Purdue University Indianapolis
Qing He,"Institute of Computing Technology, Chinese Academy of Sciences"
Xiaofeng He,East China Normal University
Yi He,Old Dominion University
Sibylle Hess,TU Eindhoven
Shen-Shyang Ho,Rowan University
Mahmud Shahriar Hossain,University of Texas at El Paso
Chun-Nan Hsu,UC San Diego
Haibo Hu,Hong Kong Polytechnic University
Hongsheng Hu,"Data61, CSIRO"
Liang Hu,University of Technology Sydney
Minqing Hu,Signifyd
Shizhe Hu,Zhengzhou University
Mengdi Huai,University of Virginia
Chao Huang,University of Notre Dame
Heng Huang,University of Pittsburgh; JD Finance America Coporation
Jianbin Huang,Xidian University
Jin Huang,Tsinghua University
Kai Huang,Hong Kong University of Science and Technology
Ling Huang,South China Agricultural University
Nina Hubig,Clemson University
Tsuyoshi Ide,IBM T. J. Watson Research Center
Stratis Ioannidis,Northeastern University
Ankit Jain,Meta Inc.
Kishlay Jha,University of Iowa
Zhe Jiang,University of Florida
Bo Jin,Dalian University of Technology
Huidong Jin,CSIRO
Ruoming Jin,Kent State University
Panos Kalnis,King Abdullah University of Science and Technology
Vana Kalogeraki,Athens University of Economics and Business
Konstantinos Kalpakis,UMBC
Toshihiro Kamishima,National Institute of Advanced Industrial Science and Technology (AIST)
Andrey Kan,Amazon
Bhargav Kanagal,Google
Zhao Kang,University of Electronic Science and Technology of China
Ben Kao,The University of Hong Kong
Hung-Yu Kao,National Cheng Kung University
Kamal Karlapalem,"International Institute of Information Technology, Hyderabad"
Saurav Karmakar,GESIS - Leibniz-Institut für Sozialwissenschaften in Köln
Kunal Khadilkar,Photoshop
Latifur Khan,University of Texas at Dallas
Sang-Wook Kim,"Hanyang University, Seoul, Korea"
Praveen Kolli,Carnegie Mellon University
Deguang Kong,Google
Xiangnan Kong,Worcester Polytechnic Institute
Youyong Kong,Southeast University
Olivera Kotevska,Oak Ridge National Laboratory
Stefan Kramer,Johannes Gutenberg Universität Mainz
Peer Kröger,Christian-Albrechts-Universität zu Kiel
Jean-Charles Lamirel,SYNALP LORIA (France) / University of Strasbourg (France) / University of Dalian (China)
Long Lan,"Institute for Quantum Information & State Key Laboratory of High Performance Computing, National University of Defense Technology, No. 109, Deya Road, Kaifu District, Changsha 410073, China"
Anne Laurent,"Univ. Montpellier, LIRMM"
Hady Lauw,Singapore Management University
Chul-Ho Lee,Texas State University
Kristina Lerman,USC Information Sciences Institute
Mark Levene,"Birkbeck, University of London"
Chaojie Li,UNSW
Cheng-Te Li,"Institute of Data Science, National Cheng Kung University"
Gang Li,Deakin University
Hui Li,"School of Computer Science and Technology,Xidian University,Xi'an"
Jianxin Li,Deakin University
Jianxin Li,Beihang University
Jiuyong Li,University of South Australia
Lei Li,Hong Kong University of Science and Technology
Ming Li,Nanjing University
Peipei Li,Hefei University of Techonology
Peizhao Li,Brandeis University
Shiyang Li,UCSB
Shuai Li,Cambridge University
Xiaoting Li,Visa
Xue Li,"School of Information Technology and Electrical Engineering, University of Queensland"
Xuelong Li,Northwestern Polytechnical University
Yanhua Li,Worcester Polytechnic Institute
Yuefeng Li,Queensland University of Technology
Yun Li,Nanjing University of Posts and Telecommunications
Qing Liao,Harbin Institute of Technology (Shenzhen)
Baodi Liu,China University of Petroleum (Huadong)
Baodi Liu,China university of Petroleum
Chien-Liang Liu,National Yang Ming Chiao Tung University
Chuanren Liu,"The University of Tennessee, Knoxville"
Guannan Liu,Beihang University
Hongfu Liu,Brandeis University
Hongyan Liu,Tsinghua University
Jialu Liu,Google Research
Jinfei Liu,Zhejiang University
Junqiang Liu,Zhejiang Gongshang University
Kunpeng Liu,Portland State University
Li Liu,Chongqing University
Lijun Liu,Dalian Minzu University
Ning Liu,Shandong University
Qi Liu,University of Science and Technology of China
Shenghua Liu,"Institute of Computing Technology, Chinese Academy of Science"
Weifeng Liu,China University of Petroleum (East China)
Yixin Liu,Monash University
Zhonghua Liu,Henan University of Science and Technology
Guodong Long,University of Technology Sydney
Yin Lou,Ant Group
Grigorios Loukides,King's College London
Chang-Tien Lu,Virginia Tech
Dongsheng Luo,Florida International University
Fulin Luo,Wuhan University
Jiebo Luo,University of Rochester
Jun Luo,Lenovo Group Limited
Yong Luo,Nanyang Technological University
Richard Maclin,University of Minnesota-Duluth
Son T. Mai,Queen's University Belfast
Giuseppe Manco,ICAR-CNR
Panagiotis Mandros,Harvard University
Alexandru Mara,Ghent University
Francesco Marcelloni,University of Pisa
Brandeis Marshall,DataedX Group
Florent Masseglia,INRIA
Yasuko Matsubara,"ISIR, Osaka University"
Nida Meddouri,EPITA Research Laboratory (LRE)
Wagner Meira Jr,Universidade Federal de Minas Gerais
Matej Mihelčić,"Department of Mathematics, Faculty of Science, University of Zagreb"
Rishabh Misra,Twitter
Anna Monreale,Pisa
Sebastian Moreno,Universidad Adolfo Ibáñez
Shinichi Morishita,University of Tokyo
Abdullah Mueen,University of New Mexico
Tsuyoshi Murata,Tokyo Institute of Technology
Sathappan Muthiah,Virginia Tech
Mirco Nanni,"KDDLab, ISTI-CNR Pisa"
Stefan Neumann,KTH Royal Institute of Technology
Cam-Tu Nguyen,Nanjing University
Xia Ning,The Ohio State University
Tim Oates,University of Maryland Baltimore County
Riccardo Ortale,ICAR-CNR
Shalini Pandey,University of Minnesota
Guansong Pang,Singapore Management University
Panagiotis Papapetrou,Stockholm University
Noseong Park,George Mason University
Eliana Pastor,Politecnico di Torino
Hao Peng,Beihang University
Jean-Marc Petit,"Universit? de Lyon, CNRS, INSA-Lyon"
Thai-Hoang Pham,The Ohio State University
NhatHai Phan,New Jersey Institute of Technology
Gianvito Pio,University of Bari Aldo Moro
Claudia Plant,University of Vienna
Marc Plantevit,EPITA
Ronaldo Prati,Universidade Federal do ABC - UFABC
Jianzhong Qi,The University of Melbourne
Buyue Qian,Xi'an Jiaotong University
Tieyun Qian,"School of Computer Science, Wuhan University"
Maoying Qiao,Australian Catholic University
Mu Qiao,IBM Almaden Research Center
Lu Qin,"University of Technology, Sydney"
Chedy Ra?ssi,INRIA Nancy
Miloš Radovanović,University of Novi Sad
Sutharshan Rajasegarar,Deakin University
Ganesh Ramesh,Apple Inc.
Jan Ramon,INRIA
Rajeev Rastogi,Amazon
Chotirat Ann Ratanamahatana,Chulalongkorn University
Bhavtosh Rath,Target
Justine Reynaud,Uni Caen
Matteo Riondato,Amherst College
Carolina Ruiz,Worcester Polytechnic Institute
David Sánchez,Universitat Rovira i Virgili
Lars Schmidt-Thieme,University of Hildesheim
Pavel Senin,Los Alamos National Laboratory
Neil Shah,Snap Inc.
Junming Shao,University of Electronic Science and Technology of China
Ming Shao,University of Massachusetts Dartmouth
Ankit Sharma,University of Minnesota
Huawei Shen,"Institute of Computing Technology, Chinese Academy of Sciences"
Jialie Shen,"Department of Computer Science, City University of London"
Wei Shen,Nankai University
Kijung Shin,KAIST
Kai Shu,Illinois Institute of Technology
Mei-Ling Shyu,University of Missouri-Kansas City
Lisa Singh,Georgetown University
Krishnamoorthy Sivakumar,Washington State University
Andrzej Skowron,"Systems Research Institute, Polish Academy of Sciences and Multidisciplinary Research Center at UKSW"
Dongjin Song,University of Connecticut
Anna Squicciarini,The Pennsylvania State University
Jaideep Srivastava,University of Minnesota
Giovanni Stilo,University of L'Aquila
Ja-Hwung Su,Cheng Shiu University
Guangzhong Sun,University of Science and Technology of China
Liang Sun,OPERA Solutions
Xin Sun,Technische Universität München
Andrea Tagarelli,University of Calabria
Chih-Hua Tai,National Taipei University
Atsuhiro Takasu,National Institute of Informatics
Yanchao Tan,Fuzhou University
Yufei Tang,Florida Atlantic University
David Taniar,Monash University
Jianrong Tao,Netease Research Institute
Nikolaj Tatti,University of Helsinki
Maguelonne Teisseire,TETIS - Irstea
Masahiro Terabe,"Chugai Pharmaceutical Co., Ltd."
Bin Tong,"Central Research Laboratory, Hitachi, Ltd."
Vicenc Torra,University of Skovde
Fabio Vandin,University of Padova
Aparna Varde,Montclair State University
Ranga Raju Vatsavai,NC State University and Lirio LLC
Michalis Vlachos,University of Lausanne
Sheng Wan,Nanjing University of Science and Technology
Chang-Dong Wang,Sun Yat-Sen University
Chao Wang,HKUST Fok Ying Tung Research Institute
Dianhui Wang,La Trobe University
Honggang Wang,University of Massachusetts
Jason T. L. Wang,New Jersey Institute of Technology
Jin Wang,Megagon Labs
Jingyuan Wang,"School of Computer Science and Engineering, Beihang University, Beijing"
Ke Wang,"School of Computing Science, Simon Fraser University"
Pengyang Wang,University of Macau
Sen Wang,University of Queensland
Senzhang Wang,Central South University
Suhang Wang,The Pennsylvania State University
Wei Wang,Fudan University
Xiao Wang,Beijing University of Posts and Telecommunications
Yangang Wang,Southeast University
Zhi Wang,"Tsinghua University, China"
Ingmar Weber,Saarland University
Tim Weninger,University of Notre Dame
Jörg Wicker,The University of Auckland
Raymond Chi-Wing Wong,The Hong Kong University of Science and Technology
Gongqing Wu,Hefei University of Technology
Runze Wu,NetEase Fuxi AI Lab
Wensheng Wu,University of Southern California
Yinghui Wu,Case Western Reserve University
Lingyun Xiang,Changsha University of Science and Technology
Keli Xiao,Stony Brook University
Xiaokui Xiao,National University of Singapore
Yanghua Xiao,"School of Computer Science, Fudan University"
Sihong Xie,Lehigh University
Bo Xiong,University of Stuttgart
Haoyi Xiong,Baidu
Yun Xiong,Fudan University
Chang Xu,University of Sydney
Guandong Xu,University of Technology Sydney
Yiming Xu,Amazon Alexa AI
Zhao Xu,NEC Laboratories Europe
Shan Xue,University of Wollongong
Yujun Yan,"University of Michigan, Ann Arbor"
Bo Yang,Jilin University
Carl Yang,Emory University
Hui Yang,The Ohio State University
Lianghuai Yang,Zhejiang University of Technology
Yang Yang,University of Electronic Science and Technology of China
Lina Yao,University of New South Wales
Yuan Yao,"State Key Laboratory for Novel Software Technology, Nanjing University"
Yanfang (Fanny) Ye,University of Notre Dame
Changchang Yin,Ohio State University
Hongzhi Yin,The University of Queensland
Jianhua Yin,Shandong UNiversity
Jin Soung Yoo,Purdue University Fort Wayne
Dantong Yu,New Jersey Institute of Technology
Guoxian Yu,Shandong University
Hwanjo Yu,POSTECH (Pohang University of Science and Technology)
Jun Yu,Hangzhou Dianzi University
