Tor Aamodt,UBC
Jung Ho Ahn,SNU
Krste Asanovic,BerkeleySiFive
Rajeev Balasubramonian,Utah
Yungang Bao,"ICT, CAS"
Abhishek Bhattacharjee,Yale
Nathan Beckmann,CMU
Pradip Bose,IBM Research
David Brooks,Harvard
Trevor E. Carlson,NUS
Eric Chung,Microsoft
Reetuparna Das,Michigan
Ronald Dreslinski,Michigan
Mattan Erez,UT Austin
Hadi Esmaeilzadeh,UCSD
Christopher Fletcher,UIUC
Jayneel Gandhi,VMware
Antonio Gonzalez,UPC
Magnus Jahre,NTNU
Aamer Jaleel,NVIDIA
Natalie Enright Jerger,Toronto
Daniel A. Jiménez,Texas A&M
Lizy K. John,UT Austin
David Kaeli,Northeastern
Ulya Karpuzcu,Minnesota
Hyesoon Kim,Georgia Tech
Jangwoo Kim,SNU
John Kim,KAIST
Aasheesh Kolli,Penn State
Tushar Krishna,Georgia Tech
Rakesh Kumar,UIUC
Hsien-Hsin Lee,Facebook
Jing Li,Wisconsin
Gabriel Loh,AMD Research
Daniel Lustig,NVIDIA
Onur Mutlu,ETH Zürich
Vijayanand Nagarajan,Edinburgh
Tony Nowatzki,UCLA
Moinuddin Qureshi,Georgia Tech
Vijay Janapa Reddi,Harvard
Minsoo Rhu,KAIST
Alberto Ros,Murcia
Joshua San Miguel,Wisconsin
André Seznec,INRIA
Yakun Sophia Shao,Berkeley
Timothy Sherwood,UCSB
Matthew Sinclair,WisconsinAMD Research
Anand Sivasubramaniam,Penn State
Daniel Sorin,Duke
Viji Srinivasan,IBM Research
Sreenivas Subramoney,Intel
Edward Suh,Cornell
Jakub Szefer,Yale
Lingjia Tang,Michigan
Ashish Venkat,Virginia
David Wentzlaff,Princeton
Carole-Jean Wu,ASUFacebook
Yuan Xie,UCSB
Mengjia Yan,MIT
Cliff Young,Google
Jishen Zhao,UCSD
Yuhao Zhu,Rochester
